,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_code,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count_predictions
2252,50.0,mudslide,downpour,2,unknown,US,1191.0,13.21872,-120.8718,46.79,0.0
2256,5.0,mudslide,rain,1,unknown,US,191719.0,3.96214,-118.2974,34.1364,0.0
2260,50.0,landslide,rain,3,unknown,KE,1842.0,6.92043,34.6812,-0.8425,0.0
2263,10.0,landslide,rain,2,unknown,IN,30700.0,2.17536,88.6236,27.3425,0.0
2309,12.674393057233878,landslide,rain,2,unknown,ID,0.0,3.17994,100.9368,-0.4475,0.0
2321,10.0,landslide,downpour,2,unknown,IN,80447.0,9.07726,75.1915,32.9913,0.0
2325,5.0,landslide,rain,2,unknown,CN,0.0,9.9934,104.3877,33.3422,0.0
2331,25.0,rock_fall,rain,1,unknown,US,1638.0,7.85746,-81.2584,38.1362,0.0
2371,5.0,mudslide,rain,1,unknown,US,5723.0,0.90111,-84.5289,39.0447,0.0
2390,10.0,mudslide,rain,2,unknown,US,2475.0,10.87949,-107.8818,39.9425,0.0
2391,12.674393057233878,landslide,downpour,2,unknown,MY,198239.0,72.06392,112.0786,2.8961,0.0
2399,1.0,landslide,downpour,2,unknown,US,1794.0,13.02782,-106.3146,39.3745,0.0
2401,10.0,mudslide,tropical_cyclone,2,unknown,SV,41504.0,4.03125,-88.8347,13.6466,0.0
2420,5.0,landslide,downpour,2,unknown,NP,23693.0,9.71861,83.6349,27.828,0.0
2424,25.0,landslide,downpour,2,unknown,IN,1351.0,11.68611,77.3737,31.5375,0.0
2426,50.0,landslide,rain,2,unknown,IN,26893.0,2.91602,75.0944,32.5659,0.0
